iter	Passed	Remaining
0	0	166
1	1	139
2	2	148
3	2	134
4	3	130
5	3	127
6	4	125
7	5	120
8	5	115
9	5	111
10	6	107
11	6	105
12	7	103
13	7	102
14	8	106
15	9	105
16	9	102
17	10	101
18	10	100
19	10	98
20	11	96
21	11	96
22	12	96
23	13	97
24	13	95
25	14	94
26	14	93
27	15	92
28	15	91
29	16	90
30	16	91
31	17	93
32	18	92
33	18	92
34	19	92
35	20	91
36	20	90
37	20	89
38	21	88
39	22	88
40	22	88
41	23	88
42	23	87
43	24	85
44	24	84
45	25	84
46	25	83
47	26	82
48	26	81
49	27	81
50	27	80
51	27	79
52	28	78
53	28	78
54	29	77
55	30	77
56	30	76
57	30	75
58	31	75
59	31	74
60	32	74
61	33	73
62	33	73
63	34	72
64	34	72
65	35	71
66	35	70
67	36	70
68	36	69
69	37	68
70	38	69
71	38	68
72	39	68
73	39	67
74	40	67
75	40	66
76	41	65
77	42	66
78	42	65
79	43	64
80	43	64
81	44	63
82	44	62
83	44	62
84	45	61
85	45	60
86	46	60
87	47	59
88	47	59
89	48	58
90	48	58
91	49	58
92	49	57
93	50	56
94	50	56
95	51	55
96	51	55
97	52	54
98	53	54
99	53	53
100	54	53
101	54	52
102	55	51
103	55	51
104	55	50
105	57	50
106	57	50
107	58	49
108	58	48
109	58	48
110	59	47
111	59	46
112	60	46
113	60	45
114	61	45
115	62	45
116	63	44
117	63	44
118	63	43
119	64	42
120	64	42
121	65	41
122	65	41
123	66	40
124	66	39
125	67	39
126	67	38
127	68	38
128	68	37
129	69	37
130	69	36
131	70	36
132	70	35
133	71	34
134	71	34
135	72	34
136	73	33
137	73	33
138	74	32
139	74	32
140	75	31
141	75	30
142	76	30
143	77	30
144	77	29
145	78	29
146	78	28
147	79	27
148	79	27
149	80	26
150	80	26
151	81	25
152	81	25
153	82	24
154	83	24
155	83	23
156	84	23
157	84	22
158	85	21
159	85	21
160	86	20
161	86	20
162	86	19
163	87	19
164	88	18
165	88	18
166	89	17
167	89	17
168	90	16
169	90	16
170	91	15
171	92	15
172	92	14
173	93	13
174	93	13
175	94	12
176	94	12
177	95	11
178	95	11
179	96	10
180	96	10
181	97	9
182	97	9
183	98	8
184	98	8
185	99	7
186	99	6
187	99	6
188	100	5
189	101	5
190	102	4
191	102	4
192	103	3
193	103	3
194	104	2
195	104	2
196	105	1
197	105	1
198	106	0
199	106	0
